Gene stable ID	Macaque gene stable ID	Macaque gene name	Gene name
ENSMUSG00000094303	ENSMMUG00000056227		
ENSMUSG00000095250	ENSMMUG00000012197	SP110	
ENSMUSG00000094836	ENSMMUG00000057550		
ENSMUSG00000094836	ENSMMUG00000055233		
ENSMUSG00000094836	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094836	ENSMMUG00000054309		
ENSMUSG00000094836	ENSMMUG00000058440		
ENSMUSG00000094836	ENSMMUG00000058407		
ENSMUSG00000094836	ENSMMUG00000054892		
ENSMUSG00000094836	ENSMMUG00000056227		
ENSMUSG00000079808	ENSMMUG00000012197	SP110	
ENSMUSG00000074720	ENSMMUG00000057550		
ENSMUSG00000074720	ENSMMUG00000055233		
ENSMUSG00000074720	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000074720	ENSMMUG00000054309		
ENSMUSG00000074720	ENSMMUG00000058440		
ENSMUSG00000074720	ENSMMUG00000058407		
ENSMUSG00000074720	ENSMMUG00000054892		
ENSMUSG00000074720	ENSMMUG00000056227		
ENSMUSG00000096236	ENSMMUG00000057550		
ENSMUSG00000096236	ENSMMUG00000055233		
ENSMUSG00000096236	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000096236	ENSMMUG00000054309		
ENSMUSG00000096236	ENSMMUG00000058440		
ENSMUSG00000096236	ENSMMUG00000058407		
ENSMUSG00000096236	ENSMMUG00000054892		
ENSMUSG00000096236	ENSMMUG00000056227		
ENSMUSG00000096680	ENSMMUG00000057550		
ENSMUSG00000096680	ENSMMUG00000055233		
ENSMUSG00000096680	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000096680	ENSMMUG00000054309		
ENSMUSG00000096680	ENSMMUG00000058440		
ENSMUSG00000096680	ENSMMUG00000058407		
ENSMUSG00000096680	ENSMMUG00000054892		
ENSMUSG00000096680	ENSMMUG00000056227		
ENSMUSG00000094874	ENSMMUG00000012197	SP110	
ENSMUSG00000094337	ENSMMUG00000057550		
ENSMUSG00000094337	ENSMMUG00000055233		
ENSMUSG00000094337	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094337	ENSMMUG00000054309		
ENSMUSG00000094337	ENSMMUG00000058440		
ENSMUSG00000094337	ENSMMUG00000058407		
ENSMUSG00000094337	ENSMMUG00000054892		
ENSMUSG00000094337	ENSMMUG00000056227		
ENSMUSG00000094383	ENSMMUG00000057550		
ENSMUSG00000094383	ENSMMUG00000055233		
ENSMUSG00000094383	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094383	ENSMMUG00000054309		
ENSMUSG00000094383	ENSMMUG00000058440		
ENSMUSG00000094383	ENSMMUG00000058407		
ENSMUSG00000094383	ENSMMUG00000054892		
ENSMUSG00000094383	ENSMMUG00000056227		
ENSMUSG00000096756	ENSMMUG00000057550		
ENSMUSG00000096756	ENSMMUG00000055233		
ENSMUSG00000096756	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000096756	ENSMMUG00000054309		
ENSMUSG00000096756	ENSMMUG00000058440		
ENSMUSG00000096756	ENSMMUG00000058407		
ENSMUSG00000096756	ENSMMUG00000054892		
ENSMUSG00000096756	ENSMMUG00000056227		
ENSMUSG00000095672	ENSMMUG00000012197	SP110	
ENSMUSG00000095505	ENSMMUG00000057550		AA792892
ENSMUSG00000095505	ENSMMUG00000055233		AA792892
ENSMUSG00000095505	ENSMMUG00000056436	PRAMEF12	AA792892
ENSMUSG00000095505	ENSMMUG00000054309		AA792892
ENSMUSG00000095505	ENSMMUG00000058440		AA792892
ENSMUSG00000095505	ENSMMUG00000058407		AA792892
ENSMUSG00000095505	ENSMMUG00000054892		AA792892
ENSMUSG00000095505	ENSMMUG00000056227		AA792892
ENSMUSG00000094474	ENSMMUG00000057550		
ENSMUSG00000094474	ENSMMUG00000055233		
ENSMUSG00000094474	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094474	ENSMMUG00000054309		
ENSMUSG00000094474	ENSMMUG00000058440		
ENSMUSG00000094474	ENSMMUG00000058407		
ENSMUSG00000094474	ENSMMUG00000054892		
ENSMUSG00000094474	ENSMMUG00000056227		
ENSMUSG00000095570	ENSMMUG00000057550		
ENSMUSG00000095570	ENSMMUG00000055233		
ENSMUSG00000095570	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000095570	ENSMMUG00000054309		
ENSMUSG00000095570	ENSMMUG00000058440		
ENSMUSG00000095570	ENSMMUG00000058407		
ENSMUSG00000095570	ENSMMUG00000054892		
ENSMUSG00000095570	ENSMMUG00000056227		
ENSMUSG00000094514	ENSMMUG00000016575	SP100	
ENSMUSG00000094791	ENSMMUG00000057550		
ENSMUSG00000094791	ENSMMUG00000055233		
ENSMUSG00000094791	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094791	ENSMMUG00000054309		
ENSMUSG00000094791	ENSMMUG00000058440		
ENSMUSG00000094791	ENSMMUG00000058407		
ENSMUSG00000094791	ENSMMUG00000054892		
ENSMUSG00000094791	ENSMMUG00000056227		
ENSMUSG00000096728	ENSMMUG00000057550		
ENSMUSG00000096728	ENSMMUG00000055233		
ENSMUSG00000096728	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000096728	ENSMMUG00000054309		
ENSMUSG00000096728	ENSMMUG00000058440		
ENSMUSG00000096728	ENSMMUG00000058407		
ENSMUSG00000096728	ENSMMUG00000054892		
ENSMUSG00000096728	ENSMMUG00000056227		
ENSMUSG00000096550	ENSMMUG00000057550		Gm16367
ENSMUSG00000096550	ENSMMUG00000055233		Gm16367
ENSMUSG00000096550	ENSMMUG00000056436	PRAMEF12	Gm16367
ENSMUSG00000096550	ENSMMUG00000054309		Gm16367
ENSMUSG00000096550	ENSMMUG00000058440		Gm16367
ENSMUSG00000096550	ENSMMUG00000058407		Gm16367
ENSMUSG00000096550	ENSMMUG00000054892		Gm16367
ENSMUSG00000096550	ENSMMUG00000056227		Gm16367
ENSMUSG00000096808	ENSMMUG00000060336		
ENSMUSG00000094172	ENSMMUG00000057550		
ENSMUSG00000094172	ENSMMUG00000055233		
ENSMUSG00000094172	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094172	ENSMMUG00000054309		
ENSMUSG00000094172	ENSMMUG00000058440		
ENSMUSG00000094172	ENSMMUG00000058407		
ENSMUSG00000094172	ENSMMUG00000054892		
ENSMUSG00000094172	ENSMMUG00000056227		
ENSMUSG00000094887	ENSMMUG00000057550		
ENSMUSG00000094887	ENSMMUG00000055233		
ENSMUSG00000094887	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094887	ENSMMUG00000054309		
ENSMUSG00000094887	ENSMMUG00000058440		
ENSMUSG00000094887	ENSMMUG00000058407		
ENSMUSG00000094887	ENSMMUG00000054892		
ENSMUSG00000094887	ENSMMUG00000056227		
ENSMUSG00000091585	ENSMMUG00000057550		
ENSMUSG00000091585	ENSMMUG00000055233		
ENSMUSG00000091585	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000091585	ENSMMUG00000054309		
ENSMUSG00000091585	ENSMMUG00000058440		
ENSMUSG00000091585	ENSMMUG00000058407		
ENSMUSG00000091585	ENSMMUG00000054892		
ENSMUSG00000091585	ENSMMUG00000056227		
ENSMUSG00000095763	ENSMMUG00000057550		
ENSMUSG00000095763	ENSMMUG00000055233		
ENSMUSG00000095763	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000095763	ENSMMUG00000054309		
ENSMUSG00000095763	ENSMMUG00000058440		
ENSMUSG00000095763	ENSMMUG00000058407		
ENSMUSG00000095763	ENSMMUG00000054892		
ENSMUSG00000095763	ENSMMUG00000056227		
ENSMUSG00000095523	ENSMMUG00000057550		
ENSMUSG00000095523	ENSMMUG00000055233		
ENSMUSG00000095523	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000095523	ENSMMUG00000054309		
ENSMUSG00000095523	ENSMMUG00000058440		
ENSMUSG00000095523	ENSMMUG00000058407		
ENSMUSG00000095523	ENSMMUG00000054892		
ENSMUSG00000095523	ENSMMUG00000056227		
ENSMUSG00000095475	ENSMMUG00000057550		
ENSMUSG00000095475	ENSMMUG00000055233		
ENSMUSG00000095475	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000095475	ENSMMUG00000054309		
ENSMUSG00000095475	ENSMMUG00000058440		
ENSMUSG00000095475	ENSMMUG00000058407		
ENSMUSG00000095475	ENSMMUG00000054892		
ENSMUSG00000095475	ENSMMUG00000056227		
ENSMUSG00000094855	ENSMMUG00000057550		
ENSMUSG00000094855	ENSMMUG00000055233		
ENSMUSG00000094855	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094855	ENSMMUG00000054309		
ENSMUSG00000094855	ENSMMUG00000058440		
ENSMUSG00000094855	ENSMMUG00000058407		
ENSMUSG00000094855	ENSMMUG00000054892		
ENSMUSG00000094855	ENSMMUG00000056227		
ENSMUSG00000094722	ENSMMUG00000057550		
ENSMUSG00000094722	ENSMMUG00000055233		
ENSMUSG00000094722	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000094722	ENSMMUG00000054309		
ENSMUSG00000094722	ENSMMUG00000058440		
ENSMUSG00000094722	ENSMMUG00000058407		
ENSMUSG00000094722	ENSMMUG00000054892		
ENSMUSG00000094722	ENSMMUG00000056227		
ENSMUSG00000095728	ENSMMUG00000057550		
ENSMUSG00000095728	ENSMMUG00000055233		
ENSMUSG00000095728	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000095728	ENSMMUG00000054309		
ENSMUSG00000095728	ENSMMUG00000058440		
ENSMUSG00000095728	ENSMMUG00000058407		
ENSMUSG00000095728	ENSMMUG00000054892		
ENSMUSG00000095728	ENSMMUG00000056227		
ENSMUSG00000095076	ENSMMUG00000057550		
ENSMUSG00000095076	ENSMMUG00000055233		
ENSMUSG00000095076	ENSMMUG00000056436	PRAMEF12	
ENSMUSG00000095076	ENSMMUG00000054309		
ENSMUSG00000095076	ENSMMUG00000058440		
ENSMUSG00000095076	ENSMMUG00000058407		
ENSMUSG00000095076	ENSMMUG00000054892		
ENSMUSG00000095076	ENSMMUG00000056227		
ENSMUSG00000095092	ENSMMUG00000012197	SP110	
ENSMUSG00000094799	ENSMMUG00000012197	SP110	
ENSMUSG00000095634	ENSMMUG00000016045		Gm20816
ENSMUSG00000095634	ENSMMUG00000058470		Gm20816
ENSMUSG00000100032	ENSMMUG00000063989	SYCP3	Gm20817
ENSMUSG00000095263	ENSMMUG00000063989	SYCP3	Gm21094
ENSMUSG00000099550	ENSMMUG00000016045		Gm28079
ENSMUSG00000099550	ENSMMUG00000058470		Gm28079
ENSMUSG00000100535	ENSMMUG00000063989	SYCP3	Gm20870
ENSMUSG00000099782	ENSMMUG00000063989	SYCP3	Gm20903
ENSMUSG00000101157	ENSMMUG00000063989	SYCP3	Gm20905
ENSMUSG00000094575	ENSMMUG00000016045		Gm20738
ENSMUSG00000094575	ENSMMUG00000058470		Gm20738
ENSMUSG00000101146	ENSMMUG00000063989	SYCP3	Gm20814
ENSMUSG00000100902	ENSMMUG00000063989	SYCP3	Gm20850
ENSMUSG00000100892	ENSMMUG00000063989	SYCP3	Gm20897
ENSMUSG00000096898	ENSMMUG00000016045		Gm20867
ENSMUSG00000096898	ENSMMUG00000058470		Gm20867
ENSMUSG00000095452	ENSMMUG00000016045		Gm20795
ENSMUSG00000095452	ENSMMUG00000058470		Gm20795
ENSMUSG00000094739	ENSMMUG00000016045		Gm20806
ENSMUSG00000094739	ENSMMUG00000058470		Gm20806
ENSMUSG00000101471	ENSMMUG00000063989	SYCP3	Gm29276
ENSMUSG00000095650	ENSMMUG00000016045		Gm20854
ENSMUSG00000095650	ENSMMUG00000058470		Gm20854
ENSMUSG00000100240	ENSMMUG00000063989	SYCP3	Gm20820
ENSMUSG00000102122	ENSMMUG00000063989	SYCP3	Gm20883
ENSMUSG00000094399	ENSMMUG00000063989	SYCP3	Gm21477
ENSMUSG00000099856	ENSMMUG00000063989	SYCP3	Gm20906
ENSMUSG00000094729	ENSMMUG00000016045		Gm20747
ENSMUSG00000094729	ENSMMUG00000058470		Gm20747
ENSMUSG00000100045	ENSMMUG00000063989	SYCP3	Gm20929
ENSMUSG00000093950	ENSMMUG00000016045		Gm20823
ENSMUSG00000093950	ENSMMUG00000058470		Gm20823
ENSMUSG00000100856	ENSMMUG00000063989	SYCP3	Gm21627
ENSMUSG00000101766	ENSMMUG00000063989	SYCP3	Gm20908
ENSMUSG00000095785	ENSMMUG00000016045		Gm20924
ENSMUSG00000095785	ENSMMUG00000058470		Gm20924
ENSMUSG00000093993	ENSMMUG00000063989	SYCP3	Gm20736
ENSMUSG00000096666	ENSMMUG00000016045		Gm20852
ENSMUSG00000096666	ENSMMUG00000058470		Gm20852
ENSMUSG00000095302	ENSMMUG00000016045		Ssty2
ENSMUSG00000095302	ENSMMUG00000058470		Ssty2
ENSMUSG00000096016	ENSMMUG00000063989	SYCP3	Gm20937
ENSMUSG00000103919	ENSMMUG00000063989	SYCP3	Gm21366
ENSMUSG00000093868	ENSMMUG00000016045		Gm20809
ENSMUSG00000093868	ENSMMUG00000058470		Gm20809
ENSMUSG00000101667	ENSMMUG00000057875		Gm29289
ENSMUSG00000101667	ENSMMUG00000039261		Gm29289
ENSMUSG00000093918	ENSMMUG00000057875		Gm21677
ENSMUSG00000093918	ENSMMUG00000039261		Gm21677
ENSMUSG00000094511	ENSMMUG00000057875		Gm21693
ENSMUSG00000094511	ENSMMUG00000039261		Gm21693
ENSMUSG00000093987	ENSMMUG00000057875		Gm21704
ENSMUSG00000093987	ENSMMUG00000039261		Gm21704
ENSMUSG00000095948	ENSMMUG00000057875		Gm21708
ENSMUSG00000095948	ENSMMUG00000039261		Gm21708
ENSMUSG00000096520	ENSMMUG00000057875		Gm3376
ENSMUSG00000096520	ENSMMUG00000039261		Gm3376
ENSMUSG00000093927	ENSMMUG00000016045		Gm20918
ENSMUSG00000093927	ENSMMUG00000058470		Gm20918
ENSMUSG00000095148	ENSMMUG00000016045		Gm20873
ENSMUSG00000095148	ENSMMUG00000058470		Gm20873
ENSMUSG00000096686	ENSMMUG00000016045		Gm20830
ENSMUSG00000096686	ENSMMUG00000058470		Gm20830
ENSMUSG00000100939	ENSMMUG00000063989	SYCP3	Gm28998
ENSMUSG00000094081	ENSMMUG00000016045		Gm20826
ENSMUSG00000094081	ENSMMUG00000058470		Gm20826
ENSMUSG00000100645	ENSMMUG00000063989	SYCP3	Gm28576
ENSMUSG00000099861	ENSMMUG00000016045		Gm29049
ENSMUSG00000099861	ENSMMUG00000058470		Gm29049
ENSMUSG00000095324	ENSMMUG00000016045		Gm20825
ENSMUSG00000095324	ENSMMUG00000058470		Gm20825
ENSMUSG00000101928	ENSMMUG00000063989	SYCP3	Gm20824
ENSMUSG00000101053	ENSMMUG00000016045		Gm20815
ENSMUSG00000101053	ENSMMUG00000058470		Gm20815
ENSMUSG00000095032	ENSMMUG00000016045		Gm21310
ENSMUSG00000095032	ENSMMUG00000058470		Gm21310
ENSMUSG00000095242	ENSMMUG00000016045		Gm20834
ENSMUSG00000095242	ENSMMUG00000058470		Gm20834
ENSMUSG00000094838	ENSMMUG00000016045		Gm20828
ENSMUSG00000094838	ENSMMUG00000058470		Gm20828
ENSMUSG00000095172	ENSMMUG00000016045		Gm20822
ENSMUSG00000095172	ENSMMUG00000058470		Gm20822
ENSMUSG00000094294	ENSMMUG00000016045		Gm20909
ENSMUSG00000094294	ENSMMUG00000058470		Gm20909
ENSMUSG00000093848	ENSMMUG00000016045		Gm20865
ENSMUSG00000093848	ENSMMUG00000058470		Gm20865
ENSMUSG00000053211	ENSMMUG00000008730	ZNF584	Zfy1
ENSMUSG00000053211	ENSMMUG00000047887	ZNF154	Zfy1
ENSMUSG00000053211	ENSMMUG00000020493	ZNF256	Zfy1
ENSMUSG00000053211	ENSMMUG00000042586	ZNF134	Zfy1
ENSMUSG00000053211	ENSMMUG00000005333		Zfy1
ENSMUSG00000053211	ENSMMUG00000020452	ZNF562	Zfy1
ENSMUSG00000053211	ENSMMUG00000051928		Zfy1
ENSMUSG00000053211	ENSMMUG00000008313	ZNF792	Zfy1
ENSMUSG00000053211	ENSMMUG00000010429	ZNF773	Zfy1
ENSMUSG00000053211	ENSMMUG00000019284	ZNF304	Zfy1
ENSMUSG00000053211	ENSMMUG00000028776	ZNF793	Zfy1
ENSMUSG00000053211	ENSMMUG00000043611	ZNF418	Zfy1
ENSMUSG00000053211	ENSMMUG00000005339	ZNF552	Zfy1
ENSMUSG00000053211	ENSMMUG00000006121	ZNF549	Zfy1
ENSMUSG00000053211	ENSMMUG00000014286	ZNF419	Zfy1
ENSMUSG00000053211	ENSMMUG00000009387	ZNF837	Zfy1
ENSMUSG00000056673	ENSMMUG00000045017	KDM5D	Kdm5d
ENSMUSG00000068457	ENSMMUG00000038182	UTY	Uty
ENSMUSG00000069045	ENSMMUG00000043966	DDX3Y	Ddx3y
ENSMUSG00000069044	ENSMMUG00000045991	USP9Y	Usp9y
ENSMUSG00000000103	ENSMMUG00000008730	ZNF584	Zfy2
ENSMUSG00000000103	ENSMMUG00000047887	ZNF154	Zfy2
ENSMUSG00000000103	ENSMMUG00000020493	ZNF256	Zfy2
ENSMUSG00000000103	ENSMMUG00000042586	ZNF134	Zfy2
ENSMUSG00000000103	ENSMMUG00000005333		Zfy2
ENSMUSG00000000103	ENSMMUG00000020452	ZNF562	Zfy2
ENSMUSG00000000103	ENSMMUG00000051928		Zfy2
ENSMUSG00000000103	ENSMMUG00000008313	ZNF792	Zfy2
ENSMUSG00000000103	ENSMMUG00000010429	ZNF773	Zfy2
ENSMUSG00000000103	ENSMMUG00000019284	ZNF304	Zfy2
ENSMUSG00000000103	ENSMMUG00000028776	ZNF793	Zfy2
ENSMUSG00000000103	ENSMMUG00000043611	ZNF418	Zfy2
ENSMUSG00000000103	ENSMMUG00000005339	ZNF552	Zfy2
ENSMUSG00000000103	ENSMMUG00000006121	ZNF549	Zfy2
ENSMUSG00000000103	ENSMMUG00000014286	ZNF419	Zfy2
ENSMUSG00000000103	ENSMMUG00000009387	ZNF837	Zfy2
ENSMUSG00000069036	ENSMMUG00000041853	SRY	Sry
ENSMUSG00000102053	ENSMMUG00000057875		Gm4064
ENSMUSG00000102053	ENSMMUG00000039261		Gm4064
ENSMUSG00000094658	ENSMMUG00000057875		Rbmy
ENSMUSG00000094658	ENSMMUG00000039261		Rbmy
ENSMUSG00000095852	ENSMMUG00000057875		Gm10256
ENSMUSG00000095852	ENSMMUG00000039261		Gm10256
ENSMUSG00000091987	ENSMMUG00000057875		Gm10352
ENSMUSG00000091987	ENSMMUG00000039261		Gm10352
ENSMUSG00000102739	ENSMMUG00000016045		Gm20772
ENSMUSG00000102739	ENSMMUG00000058470		Gm20772
ENSMUSG00000094325	ENSMMUG00000016045		Gm20831
ENSMUSG00000094325	ENSMMUG00000058470		Gm20831
ENSMUSG00000095267	ENSMMUG00000016045		Ssty1
ENSMUSG00000095267	ENSMMUG00000058470		Ssty1
ENSMUSG00000095520	ENSMMUG00000016045		Gm20877
ENSMUSG00000095520	ENSMMUG00000058470		Gm20877
ENSMUSG00000104267	ENSMMUG00000016045		Gm20807
ENSMUSG00000104267	ENSMMUG00000058470		Gm20807
ENSMUSG00000103468	ENSMMUG00000016045		Gm21440
ENSMUSG00000103468	ENSMMUG00000058470		Gm21440
ENSMUSG00000093903	ENSMMUG00000016045		Gm21454
ENSMUSG00000093903	ENSMMUG00000058470		Gm21454
ENSMUSG00000101155	ENSMMUG00000063989	SYCP3	Sly
ENSMUSG00000096122	ENSMMUG00000016045		Gm21943
ENSMUSG00000096122	ENSMMUG00000058470		Gm21943
ENSMUSG00000101399	ENSMMUG00000063989	SYCP3	Gm28961
ENSMUSG00000094052	ENSMMUG00000016045		Gm21118
ENSMUSG00000094052	ENSMMUG00000058470		Gm21118
ENSMUSG00000099948	ENSMMUG00000016045		Gm29424
ENSMUSG00000099948	ENSMMUG00000058470		Gm29424
ENSMUSG00000100231	ENSMMUG00000063989	SYCP3	Gm29554
ENSMUSG00000095508	ENSMMUG00000016045		Gm20812
ENSMUSG00000095508	ENSMMUG00000058470		Gm20812
ENSMUSG00000095606	ENSMMUG00000063989	SYCP3	Gm21258
ENSMUSG00000094570	ENSMMUG00000063989	SYCP3	Gm20931
ENSMUSG00000095867	ENSMMUG00000016045		Gm20917
ENSMUSG00000095867	ENSMMUG00000058470		Gm20917
ENSMUSG00000094746	ENSMMUG00000063989	SYCP3	Gm20916
ENSMUSG00000095793	ENSMMUG00000063989	SYCP3	Gm20855
ENSMUSG00000096650	ENSMMUG00000063989	SYCP3	Gm20896
ENSMUSG00000099531	ENSMMUG00000063989	SYCP3	Gm20869
ENSMUSG00000094660	ENSMMUG00000016045		Gm21394
ENSMUSG00000094660	ENSMMUG00000058470		Gm21394
ENSMUSG00000099840	ENSMMUG00000063989	SYCP3	Gm21409
ENSMUSG00000100485	ENSMMUG00000063989	SYCP3	Gm20920
ENSMUSG00000101158	ENSMMUG00000063989	SYCP3	Gm20894
ENSMUSG00000101286	ENSMMUG00000063989	SYCP3	Gm21317
ENSMUSG00000101933	ENSMMUG00000063989	SYCP3	Gm20835
ENSMUSG00000099894	ENSMMUG00000063989	SYCP3	Gm20911
ENSMUSG00000096769	ENSMMUG00000063989	SYCP3	Gm21117
ENSMUSG00000094616	ENSMMUG00000063989	SYCP3	Gm20888
ENSMUSG00000094647	ENSMMUG00000063989	SYCP3	Gm21650
ENSMUSG00000094821	ENSMMUG00000063989	SYCP3	Gm21518
ENSMUSG00000095979	ENSMMUG00000063989	SYCP3	Gm21209
ENSMUSG00000096902	ENSMMUG00000063989	SYCP3	Gm20843
ENSMUSG00000102045	ENSMMUG00000063989	SYCP3	Gm21294
ENSMUSG00000095153	ENSMMUG00000063989	SYCP3	Gm21095
ENSMUSG00000099541	ENSMMUG00000063989	SYCP3	Gm21488
ENSMUSG00000100055	ENSMMUG00000063989	SYCP3	Gm20890
ENSMUSG00000100708	ENSMMUG00000063989	SYCP3	Gm21173
ENSMUSG00000100726	ENSMMUG00000063989	SYCP3	Gm21497
ENSMUSG00000100972	ENSMMUG00000063989	SYCP3	Gm28553
ENSMUSG00000095578	ENSMMUG00000063989	SYCP3	Gm21760
ENSMUSG00000095135	ENSMMUG00000063989	SYCP3	Gm21858
ENSMUSG00000100667	ENSMMUG00000063989	SYCP3	1700040F15Rik
ENSMUSG00000101653	ENSMMUG00000063989	SYCP3	Gm20792
ENSMUSG00000093895	ENSMMUG00000063989	SYCP3	Gm21865
ENSMUSG00000103371	ENSMMUG00000063989	SYCP3	Gm35134
ENSMUSG00000104191	ENSMMUG00000063989	SYCP3	Gm30737
ENSMUSG00000100608	ENSMMUG00000063989	SYCP3	Gm21996
ENSMUSG00000101915	ENSMMUG00000063989	SYCP3	Gm28102
ENSMUSG00000094789	ENSMMUG00000063989	SYCP3	Gm28490
ENSMUSG00000100467	ENSMMUG00000063989	SYCP3	Gm29582
ENSMUSG00000100338	ENSMMUG00000063989	SYCP3	Gm28870
ENSMUSG00000094181	ENSMMUG00000063989	SYCP3	Gm21739
ENSMUSG00000094782	ENSMMUG00000063989	SYCP3	Gm21256
ENSMUSG00000095011	ENSMMUG00000063989	SYCP3	Gm20838
ENSMUSG00000095141	ENSMMUG00000063989	SYCP3	Gm28891
ENSMUSG00000096178	ENSMMUG00000063989	SYCP3	Gm20837
ENSMUSG00000096626	ENSMMUG00000063989	SYCP3	Gm21861
ENSMUSG00000099740	ENSMMUG00000063989	SYCP3	Gm28897
ENSMUSG00000099792	ENSMMUG00000063989	SYCP3	Gm29564
ENSMUSG00000099925	ENSMMUG00000063989	SYCP3	Gm28827
ENSMUSG00000101528	ENSMMUG00000063989	SYCP3	Gm29110
ENSMUSG00000103528	ENSMMUG00000063989	SYCP3	Gm31571
ENSMUSG00000102668	ENSMMUG00000063989	SYCP3	Gm29866
ENSMUSG00000094813	ENSMMUG00000016045		Gm20777
ENSMUSG00000094813	ENSMMUG00000058470		Gm20777
ENSMUSG00000101396	ENSMMUG00000063989	SYCP3	Gm28510
ENSMUSG00000095950	ENSMMUG00000016045		Gm20737
ENSMUSG00000095950	ENSMMUG00000058470		Gm20737
ENSMUSG00000101243	ENSMMUG00000063989	SYCP3	Gm28919
ENSMUSG00000079806	ENSMMUG00000016045		Gm21719
ENSMUSG00000079806	ENSMMUG00000058470		Gm21719
ENSMUSG00000100634	ENSMMUG00000016045		Gm28171
ENSMUSG00000100634	ENSMMUG00000058470		Gm28171
ENSMUSG00000096036	ENSMMUG00000016045		Gm21778
ENSMUSG00000096036	ENSMMUG00000058470		Gm21778
ENSMUSG00000096706	ENSMMUG00000016045		Gm21854
ENSMUSG00000096706	ENSMMUG00000058470		Gm21854
ENSMUSG00000096268	ENSMMUG00000016045		Gm20914
ENSMUSG00000096268	ENSMMUG00000058470		Gm20914
ENSMUSG00000094773	ENSMMUG00000016045		Gm21812
